
 epoch: 31, val_loss: 0.2479, acc: 0.9153, acc_cls: 0.6897, mean_iu: 0.6365, fwavacc: 0.8434
 epoch: 32, train_loss: 0.1407, acc: 0.9477, acc_cls: 0.8022, mean_iu: 0.7563, fwavacc: 0.9018
 epoch: 32, val_loss: 0.3373, acc: 0.8990, acc_cls: 0.6236, mean_iu: 0.5676, fwavacc: 0.8149
 epoch: 33, train_loss: 0.1433, acc: 0.9469, acc_cls: 0.7997, mean_iu: 0.7529, fwavacc: 0.9003
 epoch: 33, val_loss: 0.2557, acc: 0.9129, acc_cls: 0.6913, mean_iu: 0.6340, fwavacc: 0.8409
 epoch: 34, train_loss: 0.1691, acc: 0.9377, acc_cls: 0.7676, mean_iu: 0.7153, fwavacc: 0.8847
 epoch: 34, val_loss: 0.2667, acc: 0.9104, acc_cls: 0.6694, mean_iu: 0.6153, fwavacc: 0.8347
 epoch: 35, train_loss: 0.1633, acc: 0.9398, acc_cls: 0.7746, mean_iu: 0.7236, fwavacc: 0.8882
 epoch: 35, val_loss: 0.2823, acc: 0.9071, acc_cls: 0.6728, mean_iu: 0.6135, fwavacc: 0.8316
 epoch: 36, train_loss: 0.1533, acc: 0.9431, acc_cls: 0.7880, mean_iu: 0.7380, fwavacc: 0.8940
 epoch: 36, val_loss: 0.2663, acc: 0.9122, acc_cls: 0.6686, mean_iu: 0.6173, fwavacc: 0.8367
 epoch: 37, train_loss: 0.1478, acc: 0.9451, acc_cls: 0.7938, mean_iu: 0.7458, fwavacc: 0.8973
 epoch: 37, val_loss: 0.2573, acc: 0.9114, acc_cls: 0.6919, mean_iu: 0.6323, fwavacc: 0.8393
 epoch: 38, train_loss: 0.1495, acc: 0.9442, acc_cls: 0.7909, mean_iu: 0.7421, fwavacc: 0.8958
 epoch: 38, val_loss: 0.2688, acc: 0.9090, acc_cls: 0.6766, mean_iu: 0.6186, fwavacc: 0.8342
 epoch: 39, train_loss: 0.1415, acc: 0.9472, acc_cls: 0.8020, mean_iu: 0.7549, fwavacc: 0.9010
 epoch: 39, val_loss: 0.2519, acc: 0.9162, acc_cls: 0.6908, mean_iu: 0.6387, fwavacc: 0.8447
 epoch: 40, train_loss: 0.1373, acc: 0.9489, acc_cls: 0.8069, mean_iu: 0.7616, fwavacc: 0.9039
 epoch: 40, val_loss: 0.2483, acc: 0.9156, acc_cls: 0.6908, mean_iu: 0.6377, fwavacc: 0.8440
 epoch: 41, train_loss: 0.1342, acc: 0.9501, acc_cls: 0.8101, mean_iu: 0.7661, fwavacc: 0.9059
 epoch: 41, val_loss: 0.2505, acc: 0.9159, acc_cls: 0.6912, mean_iu: 0.6383, fwavacc: 0.8443
 epoch: 42, train_loss: 0.1386, acc: 0.9486, acc_cls: 0.8052, mean_iu: 0.7601, fwavacc: 0.9033
 epoch: 42, val_loss: 0.2991, acc: 0.9040, acc_cls: 0.7003, mean_iu: 0.6271, fwavacc: 0.8318
 epoch: 43, train_loss: 0.1485, acc: 0.9450, acc_cls: 0.7945, mean_iu: 0.7458, fwavacc: 0.8972
 epoch: 43, val_loss: 0.2473, acc: 0.9153, acc_cls: 0.6892, mean_iu: 0.6362, fwavacc: 0.8434
 epoch: 44, train_loss: 0.1374, acc: 0.9489, acc_cls: 0.8062, mean_iu: 0.7611, fwavacc: 0.9038
 epoch: 44, val_loss: 0.2508, acc: 0.9149, acc_cls: 0.6923, mean_iu: 0.6377, fwavacc: 0.8434
 epoch: 45, train_loss: 0.1343, acc: 0.9505, acc_cls: 0.8112, mean_iu: 0.7677, fwavacc: 0.9065
 epoch: 45, val_loss: 0.2526, acc: 0.9149, acc_cls: 0.6946, mean_iu: 0.6391, fwavacc: 0.8436
 epoch: 46, train_loss: 0.1395, acc: 0.9483, acc_cls: 0.8051, mean_iu: 0.7592, fwavacc: 0.9029
 epoch: 46, val_loss: 0.2479, acc: 0.9155, acc_cls: 0.6889, mean_iu: 0.6362, fwavacc: 0.8435
 epoch: 47, train_loss: 0.1376, acc: 0.9491, acc_cls: 0.8071, mean_iu: 0.7621, fwavacc: 0.9042
 epoch: 47, val_loss: 0.3599, acc: 0.8754, acc_cls: 0.6631, mean_iu: 0.5715, fwavacc: 0.7960
 epoch: 48, train_loss: 0.1428, acc: 0.9475, acc_cls: 0.8028, mean_iu: 0.7560, fwavacc: 0.9015
 epoch: 48, val_loss: 0.3086, acc: 0.8883, acc_cls: 0.6762, mean_iu: 0.5928, fwavacc: 0.8112
 epoch: 49, train_loss: 0.1424, acc: 0.9473, acc_cls: 0.8013, mean_iu: 0.7547, fwavacc: 0.9010
 epoch: 49, val_loss: 0.2574, acc: 0.9118, acc_cls: 0.6962, mean_iu: 0.6356, fwavacc: 0.8403
 epoch: 50, train_loss: 0.1364, acc: 0.9495, acc_cls: 0.8091, mean_iu: 0.7643, fwavacc: 0.9050
 epoch: 50, val_loss: 0.2504, acc: 0.9154, acc_cls: 0.6998, mean_iu: 0.6433, fwavacc: 0.8450
